Team A,score,Team B,year
against All authority,0 - 1,Epik Gamer,2011
against All authority,1 - 0,Fnatic,2011
against All authority,1 - 0,Team Pacific,2011
Epik Gamer,1 - 0,against All authority,2011
Epik Gamer,1 - 0,Fnatic,2011
Epik Gamer,1 - 0,Team Pacific,2011
Fnatic,0 - 1,against All authority,2011
Fnatic,0 - 1,Epik Gamer,2011
Fnatic,1 - 0,Team Pacific,2011
Team Pacific,0 - 1,against All authority,2011
Team Pacific,0 - 1,Epik Gamer,2011
Team Pacific,0 - 1,Fnatic,2011
Counter Logic Gaming,1 - 0,Team gamed!de,2011
Counter Logic Gaming,0 - 1,TSM,2011
Counter Logic Gaming,1 - 0,Xan,2011
Team gamed!de,0 - 1,Counter Logic Gaming,2011
Team gamed!de,0 - 1,TSM,2011
Team gamed!de,1 - 0,Xan,2011
TSM,1 - 0,Counter Logic Gaming,2011
TSM,1 - 0,Team gamed!de,2011
TSM,0 - 1,Xan,2011
Xan,0 - 1,Counter Logic Gaming,2011
Xan,0 - 1,Team gamed!de,2011
Xan,1 - 0,TSM,2011
Azubu Frost,1 - 0,CLG Prime,2012
Azubu Frost,1 - 0,Invictus Gaming,2012
Azubu Frost,1 - 0,SK Gaming,2012
CLG Prime,0 - 1,Azubu Frost,2012
CLG Prime,0 - 1,Invictus Gaming,2012
CLG Prime,1 - 0,SK Gaming,2012
Invictus Gaming,0 - 1,Azubu Frost,2012
Invictus Gaming,1 - 0,CLG Prime,2012
Invictus Gaming,1 - 0,SK Gaming,2012
SK Gaming,0 - 1,Azubu Frost,2012
SK Gaming,0 - 1,CLG Prime,2012
SK Gaming,0 - 1,Invictus Gaming,2012
CLG Europe,1 - 0,Dignitas,2012
CLG Europe,0 - 1,NaJin Sword,2012
CLG Europe,1 - 0,Saigon Jokers,2012
Dignitas,0 - 1,Counter Logic Gaming Europe,2012
Dignitas,0 - 1,NaJin Sword,2012
Dignitas,0 - 1,Saigon Jokers,2012
NaJin Sword,1 - 0,Counter Logic Gaming Europe,2012
NaJin Sword,1 - 0,Dignitas,2012
NaJin Sword,1 - 0,Saigon Jokers,2012
